SMILES,IC50_nM,pIC50
C#CCNC(=O)c1ccc(C(=O)Nc2nc3ccc(OC)cc3s2)cc1,23050.0,5.67
C#CCOc1ccc(C(=O)c2ccc(C(=O)Nc3nc4ccc(OC)cc4s3)cc2)cc1,15565.0,5.699999999999999
C#CCOc1ccc2nc(NC(=O)c3ccc(C(=O)c4ccccc4)cc3)sc2c1,51.5,7.47
C#Cc1cc(C(=O)Nc2cnn(Cc3cccc(F)c3)c2)no1,1600.0,5.8
C=C(C)c1cc(C(=O)N2CCC3(CCc4c(F)cccc4O3)CC2)no1,45000.0,4.346787486224656
C=C(C)c1cc(C(=O)Nc2cnn(Cc3cc(F)ccc3C(F)(F)F)c2)no1,45000.0,4.346787486224656
C=C(C)c1cc(C(=O)Nc2cnn(Cc3cccc(F)c3)c2)no1,20.0,7.7
C=C(C)c1cc(C(=O)Nc2cnn(Cc3ccccc3)c2)on1,9000.0,5.05
C=C(C)c1cc(C(=O)Nc2cnn(Cc3cnccc3C(F)(F)F)c2)no1,45000.0,4.346787486224656
C=Cc1cc(C(=O)Nc2cnn(Cc3cccc(F)c3)c2)no1,48.0,7.32
CC(=O)N1CCN(c2cc(C(=O)Nc3cnn(Cc4ccccc4)c3)no2)CC1,29000.0,4.54
CC(=O)NCCn1c(=O)c(-c2ccc(C)cc2)nc2cnc(NCc3ccc(Cl)c(Cl)c3)cc21,40.0,7.4
CC(=O)NCCn1c(=O)c(-c2cccnc2)nc2ccc(NCc3ccc(Cl)c(Cl)c3)nc21,15.0,7.82
CC(=O)NCCn1c(=O)c(-c2cccnc2)nc2ccc(NCc3ccc(F)c(Cl)c3)nc21,13.0,7.89
CC(=O)NCCn1c(=O)c(-c2cccnc2)nc2ccc(NCc3cccc(C(F)(F)F)c3)cc21,13.0,7.89
CC(=O)NCCn1c(=O)c(-c2cccnc2)nc2ccc(NCc3cccc(C(F)(F)F)c3)nc21,120.0,6.92
CC(=O)NCCn1c(=O)c(-c2cccnc2)nc2cnc(NCc3ccc(Cl)c(Cl)c3)cc21,21.0,7.68
CC(=O)NCCn1c(=O)c(-c2cccnc2)nc2cnc(NCc3ccc(Cl)c(Cl)c3)nc21,250.0,6.6
CC(=O)Nc1ccc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,15.0,7.82
CC(=O)Nc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,11.0,7.96
CC(=O)c1cc(C(=O)Nc2cnn(Cc3cccc(F)c3)c2)no1,1100.0,5.96
CC(C(=O)N1CCN(c2ccc(C(=O)NCCC3CC3)nn2)CC1)(C(F)(F)F)C(F)(F)F,119.0,6.92
CC(C)(C)OC(=O)N1CC2(C1)CN(C(=O)c1cc(-c3ccccc3)on1)C2,45000.0,4.346787486224656
CC(C)(C)OC(=O)N1CCC(NC(=O)c2cc(-c3ccco3)on2)C1,45000.0,4.346787486224656
CC(C)(C)OC(=O)N1CCC(NC(=O)c2cc(-c3ccco3)on2)CC1,45000.0,4.346787486224656
CC(C)(C)OC(=O)N1CCC2(CCN(C(=O)c3cc(-c4ccccc4)on3)C2)C1,45000.0,4.346787486224656
CC(C)(C)OC(=O)N1CCN(C(=O)c2cc(-c3ccc4c(c3)OCO4)on2)CC1,45000.0,4.346787486224656
CC(C)(C)OC(=O)N1CCN(c2cc(C(=O)Nc3cnn(Cc4ccccc4)c3)no2)CC1,12.0,7.92
CC(C)(C)OC(=O)Nc1cc(C(=O)Nc2cnn(Cc3ccccc3)c2)no1,5800.0,5.24
CC(C)(C)OC(=O)c1ccc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cc1,1000.0,6.0
CC(C)(C)OC(=O)n1cc(NC(=O)c2cc(-c3ccccc3)on2)cn1,3240.0,5.49
CC(C)(C)OC(=O)n1cc(NC(=O)c2cc(-c3ccco3)on2)cn1,45000.0,4.346787486224656
CC(C)(C)c1cc(C(=O)Nc2cnn(Cc3ccccc3)c2)no1,150.0,6.82
CC(C)(C)c1ccc(C2(C#N)CCN(c3ccc(-c4nc(CO)no4)nn3)CC2)cc1,21.0,7.68
CC(C)(C)c1ccc2nc(-c3ccc(-c4ccccc4F)cc3)[nH]c2c1,731.0,6.14
CC(C)(O)c1cc(C(=O)Nc2cnn(Cc3ccccc3)c2)on1,45000.0,4.346787486224656
CC(C)(c1ccccc1)n1cc(NC(=O)c2cc(-c3ccccc3)on2)cn1,45000.0,4.346787486224656
CC(C)CCNC(=O)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)cn1,2400.0,5.62
CC(C)CCNC(=O)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nc1,100.0,7.0
CC(C)CCNC(=O)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,37.0,7.43
CC(C)CCc1ccccc1NCc1ccc(C(=O)Nc2nc(CC(=O)O)cs2)cc1,4.8,8.32
CC(C)CCc1ccccc1NCc1ccc(C(=O)Nc2nc(CC(=O)O)cs2)s1,6.7,8.17
CC(C)CCc1ccccc1NCc1ccc(C(=O)Nc2nc(CCO)cs2)cc1,5.3,8.28
CC(C)CNC(=O)c1nccnc1NCC(=O)N1CCC(Oc2ccccc2Cl)CC1,260.0,6.58
CC(C)N1CCC2(CCN(c3ccc(C(=O)NCC(O)c4cccnc4)nn3)CC2)Oc2ccccc21,40.0,7.4
CC(C)c1cc(C(=O)N2CC(Cc3ccccc3)C2)no1,45000.0,4.346787486224656
CC(C)c1cc(C(=O)N2CC(c3ccccc3)C2)no1,45000.0,4.346787486224656
CC(C)c1cc(C(=O)N2CCC(c3cccc(F)c3)C2)no1,45000.0,4.346787486224656
CC(C)c1cc(C(=O)N2CCC(c3ccccc3)C2)no1,45000.0,4.346787486224656
CC(C)c1cc(C(=O)Nc2cc3ccccn3n2)no1,45000.0,4.346787486224656
CC(C)c1cc(C(=O)Nc2cnn(CC34CCC(CC3)CC4)c2)no1,45000.0,4.346787486224656
CC(C)c1cc(C(=O)Nc2cnn(Cc3cccc(F)c3)c2)no1,30.0,7.52
CC(C)c1cc(C(=O)Nc2cnn(Cc3ccccc3)c2)no1,26.0,7.58
CC(C)c1cc(C(=O)Nc2cnn(Cc3ccccc3)c2)on1,600.0,6.22
CC(C)c1cc(C(=O)Nc2cnn(Cc3cnccc3C(F)(F)F)c2)no1,25000.0,4.6
CC(CNC(=O)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1)c1ccccc1,660.0,6.18
CC(c1ccccc1)n1cc(NC(=O)c2cc(-c3ccccc3)on2)cn1,45000.0,4.346787486224656
CC1(C(=O)Nc2ccccc2)CN(C(=O)c2cc(-c3ccccc3)on2)C1,45000.0,4.346787486224656
CC1(c2cc(C(=O)Nc3cnn(Cc4cccc(F)c4)c3)no2)COC1,45000.0,4.346787486224656
CC1(c2cc(C(=O)Nc3cnn(Cc4ccccc4)c3)no2)COC1,210.0,6.68
